Title,Duration,Rating,Description,Image URL,Director,Genres
Avengers: Infinity War,2 hours 29 minutes,8.4,"Die Avengers und ihre Verbündeten müssen bereit sein, alles zu opfern, um den mächtigen Thanos zu besiegen, bevor sein galaktischer Zerstörungsplan dem Universum ein Ende bereitet.",https://m.media-amazon.com/images/M/MV5BNzdhMWZlYjQtMWViYS00MjA3LTg2YjAtMmI3YzE2MTRjZjQ0XkEyXkFqcGc@._V1_.jpg,"Anthony Russo, Joe Russo","Action, Abenteuer, Science-Fiction"
Paths of Glory,1 hours 28 minutes,8.4,"Nachdem sie sich geweigert hatten, eine feindliche Stellung anzugreifen, klagt ein General die Soldaten der Feigheit an und ihr befehlshabender Offizier muss sie verteidigen.",https://m.media-amazon.com/images/M/MV5BMDdmNWFhZDUtM2YxNS00ZjY1LTllM2QtMDAxNDgyY2JjODI4XkEyXkFqcGc@._V1_.jpg,Stanley Kubrick,"Drama, Kriegsfilm"
Spider-Man: Into the Spider-Verse,1 hours 57 minutes,8.4,"Spider-Man kreuzt parallele Dimensionen und verbündet sich mit den Wandkrabblern der anderen Dimensionen, um eine Bedrohung für alle Realitäten zu stoppen.",https://m.media-amazon.com/images/M/MV5BMWRiYjY3YzAtMzJhMy00M2M2LWFhYzUtYjQzM2QwYTg0YTM1XkEyXkFqcGc@._V1_.jpg,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Animation, Action, Abenteuer"
Witness for the Prosecution,1 hours 56 minutes,8.4,"Ein erfahrener britischer Rechtsanwalt muss seinen Mandanten in einem Mordprozess verteidigen, der einige Überraschungen auf Lager hat.",https://m.media-amazon.com/images/M/MV5BNmNlZTdjN2MtYzYxZi00YzM5LWExYTctYjQ3ZGNiMTYyOGVmXkEyXkFqcGc@._V1_.jpg,Billy Wilder,"Krimi, Drama, Mystery"
The Shining,2 hours 26 minutes,8.4,"Eine Familie fährt in ein abgelegenes Hotel, um dort den Winter zu verbringen. Dort angekommen lassen böse und spirituelle Kräfte den Vater schließlich gewalttätig werden und der übersinnlich begabte Sohn hat schreckliche Vorahnun...",https://m.media-amazon.com/images/M/MV5BNGQ1N2Y4ZWUtOGFlOC00OWZmLTlmNmQtOWNlYjA3ZjNhN2U1XkEyXkFqcGc@._V1_.jpg,Stanley Kubrick,"Drama, Horror"
The Great Dictator,2 hours 5 minutes,8.4,"Diktator Adenoid Hynkel bemüht sich, sein Reich zu erweitern, während ein armer jüdischer Friseur der Verfolgung durch Hynkels Regime zu entgehen versucht.",https://m.media-amazon.com/images/M/MV5BM2E5ZTdhMzctMTBkMS00YjlkLWExYjMtMmFiMWFiODZiYTg5XkEyXkFqcGc@._V1_.jpg,Charles Chaplin,"Komödie, Drama, Kriegsfilm"
Aliens,2 hours 17 minutes,8.4,"Der Mond aus Alien (1979) wurde kolonisiert, aber man hat den Kontakt verloren. Dieses Mal verfügt das Rettungsteam über eine beeindruckende Feuerkraft, aber wird sie genügen?",https://m.media-amazon.com/images/M/MV5BMTIzZGZkYWMtODExYi00ZDY0LTgyNDAtOTJhZmJlMjRiZWNiXkEyXkFqcGc@._V1_.jpg,James Cameron,"Action, Abenteuer, Science-Fiction"
Inglourious Basterds,2 hours 33 minutes,8.4,"Während des Zweiten Weltkriegs plant eine Gruppe jüdischer US-Soldaten im von Nazis besetzten Frankreich führende Nazis zu ermorden, während ein rachsüchtiger Kinobesitzer dasselbe vorhat.",https://m.media-amazon.com/images/M/MV5BMjE3NDU2MTE3OV5BMl5BanBnXkFtZTgwNDM2OTM5NDE@._V1_.jpg,Quentin Tarantino,"Abenteuer, Drama, Kriegsfilm"
The Dark Knight Rises,2 hours 44 minutes,8.4,"Acht Jahre nach Jokers anarchischer Herrschaft sieht sich der Dunkle Ritter gezwungen, aus dem ihm auferlegten Exil zurückzukehren und mithilfe der geheimnisvollen Catwoman Gotham City zu retten, das kurz vor seiner totalen Zerstö...",https://m.media-amazon.com/images/M/MV5BMDIyZWZkMjAtYjVkMC00YzIzLWFhMjMtNGEwZTkyNmQwMTZmXkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Action, Drama, Thriller"
Coco,1 hours 45 minutes,8.4,"Coco erzählt von dem 12-jährigen Jungen Miguel, der eine Kette von Ereignissen auslöst, die ihn zu einem jahrhundertealten Geheimnis und zu einer außergewöhnlichen Familienwiedervereinigung führen.",https://m.media-amazon.com/images/M/MV5BNTk5MmM1OTAtYzZlMi00MDlhLWE4ZjctMjBjY2Q1OTEyZWUxXkEyXkFqcGc@._V1_.jpg,"Lee Unkrich, Adrian Molina","Animation, Abenteuer, Drama"
Amadeus,2 hours 40 minutes,8.4,"Die unglaubliche Geschichte von Wolfgang Amadeus Mozart, erzählt von seinem Kollegen und geheimen Erzrivalen Antonio Salieri - den man nun in eine Irrenanstalt gesperrt hat.",https://m.media-amazon.com/images/M/MV5BN2ZmODhiYjEtM2YxOS00Yjc5LTgyMmYtZGEwMWU4NTkxOWE0XkEyXkFqcGc@._V1_.jpg,Milos Forman,"Biografie, Drama, Musikfilm"
Toy Story,1 hours 21 minutes,8.3,"Eine Cowboy-Puppe fühlt sich bedroht und ist eifersüchtig, als ihr eine neue Raumfahrer-Figur ihren Platz als Lieblingsspielzeug im Kinderzimmer eines Jungen streitig macht.",https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg,John Lasseter,"Animation, Abenteuer, Komödie"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1 hours 35 minutes,8.3,"Ein verrückter General begibt sich auf den Weg zum nuklearen Holocaust, was eine Gruppe Politiker und Generäle verzweifelt zu stoppen versucht.",https://m.media-amazon.com/images/M/MV5BZTI0NWI2YTctOTAyOC00M2IyLThkMzctMjNmNzFiN2M4OTc5XkEyXkFqcGc@._V1_.jpg,Stanley Kubrick,"Komödie, Kriegsfilm"
Oldeuboi,2 hours,8.3,"Nachdem er entführt und 15 Jahre lang eingesperrt worden war, wird Oh Dae-su plötzlich entlassen, jedoch nur um zu erfahren, dass er in 5 Tagen seinen Kidnapper finden muss.",https://m.media-amazon.com/images/M/MV5BY2JhMzZmODUtYTIzNy00MTAwLWJmOWYtNzk3MmFmZTllMjgxXkEyXkFqcGc@._V1_.jpg,Park Chan-wook,"Action, Drama, Mystery"
American Beauty,2 hours 2 minutes,8.3,"Ein sexuell frustrierter Vorstadtpapa stürzt in eine Midlife Crisis, als er sich in die beste Freundin seiner Tochter verknallt.",https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Sam Mendes,Drama
Avengers: Endgame,3 hours 1 minutes,8.4,"Nach der Katastrophe von &quot;Avengers: Infinity War&quot; liegt das Universum in Trümmern. Mit Hilfe der restlichen Verbündeten sammeln die Avengers ihre Kräfte, um den Irrsinn Thanos&apos; rückgängig zu machen und das Gleichgewicht wiederherz...",https://m.media-amazon.com/images/M/MV5BNzkwOTRjZDItOGNhOS00YjRkLTg3NmEtYWE2MWY5NDcyZDAwXkEyXkFqcGc@._V1_.jpg,"Anthony Russo, Joe Russo","Action, Abenteuer, Drama"
Das Boot,2 hours 29 minutes,8.4,"Die klaustrophobische Welt eines deutschen U-Boots im Zweiten Weltkrieg; Langeweile, Schmutz und nackte Angst.",https://m.media-amazon.com/images/M/MV5BNGY1Y2M0OTktYzk4MS00NTRkLTg1ZjgtMjE1YTY0ZWJhZDA0XkEyXkFqcGc@._V1_.jpg,Wolfgang Petersen,"Drama, Kriegsfilm"
Braveheart,2 hours 58 minutes,8.3,"Als seine geheime Braut für den Angriff auf einen englischen Soldaten, der sie zu vergewaltigen versuchte, hingerichtet wird, beginnt William Wallace eine Revolte gegen König Edward I. von England.",https://m.media-amazon.com/images/M/MV5BN2JhNjI1MGYtMTAwNS00NWJlLThhYWUtOTllM2IzOGVlZGE5XkEyXkFqcGc@._V1_.jpg,Mel Gibson,"Biografie, Drama, Kriegsfilm"
Good Will Hunting,2 hours 6 minutes,8.3,"Will Hunting, ein Hausmeister am Massachusetts Institute of Technology, besitzt eine Begabung für Mathematik, benötigt aber die Hilfe eines Psychologen, um seinem Leben eine Richtung zu geben.",https://m.media-amazon.com/images/M/MV5BNThkMjYwNmMtNzQ0My00YWE1LTg2ZGItMmIwYTNlNGI5Mzk2XkEyXkFqcGc@._V1_.jpg,Gus Van Sant,"Drama, Liebesfilm"
Mononoke-hime,2 hours 13 minutes,8.3,"Auf der Suche nach einer Möglichkeit, sich von Tatarigamis Fluch zu befreien, findet sich Ashitaka in einen Krieg zwischen Waldgöttern und der Bergbausiedlung Tatara involviert. Auf dieser Reise trifft er auch auf San, die Prinzes...",https://m.media-amazon.com/images/M/MV5BNTgwOTc2MTItZDU4Yi00NzIwLTgwNmMtYjQxNjE5MTFjMzZhXkEyXkFqcGc@._V1_.jpg,Hayao Miyazaki,"Animation, Action, Abenteuer"
Joker,2 hours 2 minutes,8.4,"1981 in Gotham: Arthur Fleck fristet ein trostloses Leben. Sein Leben nimmt eine dramatische Wendung, als er von seinem Kollegen Randall einen Revolver geschenkt bekommt.",https://m.media-amazon.com/images/M/MV5BNWNhYzhjMzAtNmZlNi00ZTA2LWFiYWMtNmYwYmQ0ZGYxZGEwXkEyXkFqcGc@._V1_.jpg,Todd Phillips,"Krimi, Drama, Thriller"
Kimi no na wa.,1 hours 46 minutes,8.4,"Zwei Fremde finden sich auf bizarre Weise verbunden. Wenn eine Verbindung entsteht, ist Entfernung die einzige Möglichkeit, sie auseinander zu halten?",https://m.media-amazon.com/images/M/MV5BOTkzMGIyYzAtMDQyYi00OTkxLWI2ZGMtODNmYjMyMWM3ZGY1XkEyXkFqcGc@._V1_.jpg,Makoto Shinkai,"Animation, Drama, Fantasy"
Tengoku to jigoku,2 hours 23 minutes,8.4,"Ein Manager einer Schuhfirma wird Opfer von Erpressung, als der Sohn seines Chauffeurs entführt wird.",https://m.media-amazon.com/images/M/MV5BOTFmOTNjYjUtMDA2MC00ZTJiLThiYzktNDdjNzQwMjNkN2NmXkEyXkFqcGc@._V1_.jpg,Akira Kurosawa,"Krimi, Drama, Mystery"
3 Idiots,2 hours 50 minutes,8.4,"Zwei Freunde sind auf der Suche nach ihrem lange verschollenen Freund. Sie lassen Erinnerungen an ihre gemeinsamen Tage am College wiederaufleben und erinnern sich an ihren Freund, der sie immer dazu inspirierte, ein wenig anders ...",https://m.media-amazon.com/images/M/MV5BMWQ5MTM5YjQtNDJkNy00N2RlLWE4Y2QtMWNmYTA5ZGIyOWJlXkEyXkFqcGc@._V1_.jpg,Rajkumar Hirani,"Komödie, Drama"
Once Upon a Time in America,3 hours 49 minutes,8.3,"Ein jüdischer Gangster aus der Zeit der Prohibition kehrt nach über dreißig Jahren in die Lower East Side von Manhattan zurück, wo er sich erneut mit den alten Geistern und Kümmernissen seines früheren Lebens konfrontiert sieht.",https://m.media-amazon.com/images/M/MV5BOTM0YWMxOWItOTRjMi00NDA1LWE1MzctMWQ3MmUyNmNmMWQwXkEyXkFqcGc@._V1_.jpg,Sergio Leone,"Krimi, Drama"
Singin' in the Rain,1 hours 43 minutes,8.3,"Eine Stummfilmproduktionsfirma und deren Schauspieler versuchen, den schwierigen Übergang in die Tonfilmära zu schaffen.",https://m.media-amazon.com/images/M/MV5BNDJmYjc4MDEtYzliYi00YWEwLThlYmYtN2Y3MGYyNjkwZjMwXkEyXkFqcGc@._V1_.jpg,"Stanley Donen, Gene Kelly","Komödie, Musical, Liebesfilm"
Capharnaüm,2 hours 6 minutes,8.4,Der ungefähr 12 Jahre alte Zain lebt im Armutsviertel von Beirut und schlägt sich mit seiner Familie durch. Nach einem Zwischenfall verlässt er seine Familie und findet Zuflucht bei einer äthiopischen Mutter und ihrem Sohn.,https://m.media-amazon.com/images/M/MV5BZjdiZDQyMDEtMjAyOS00ZmEyLWExZjctYjg1MTQzMTQ1NTAyXkEyXkFqcGc@._V1_.jpg,Nadine Labaki,Drama
Idi i smotri,2 hours 22 minutes,8.4,"Nachdem er ein altes Gewehr gefunden hat, schließt sich ein Junge der sowjetischen Widerstandsbewegung in ihrem Kampf gegen die skrupellosen deutschen Truppen an und erfährt so die Schrecken des Zweiten Weltkriegs.",https://m.media-amazon.com/images/M/MV5BMjIyMjM4NTQ2OF5BMl5BanBnXkFtZTgwOTM4MTI2MTE@._V1_.jpg,Elem Klimov,"Drama, Thriller, Kriegsfilm"
Requiem for a Dream,1 hours 42 minutes,8.3,"Die Scheinwelten, in die sich vier Menschen aus Coney Island mit Hilfe von Drogen geflüchtet haben, geraten ins Wanken, als ihre Sucht stärker wird.",https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_.jpg,Darren Aronofsky,Drama
Toy Story 3,1 hours 43 minutes,8.3,"Kurz bevor Andy sich auf den Weg zum College macht, werden die Spielzeuge irrtümlicherweise an eine Kindertagesstätte und nicht an seinen Speicher geliefert. Es liegt jetzt ganz an Woody, die anderen Spielzeuge davon zu überzeugen...",https://m.media-amazon.com/images/M/MV5BMTVkYmU2MWItYzNjYS00NWQ0LTg5ZDEtNjgyMWNhMGNkZjliXkEyXkFqcGc@._V1_.jpg,Lee Unkrich,"Animation, Abenteuer, Komödie"
Star Wars: Episode VI - Return of the Jedi,2 hours 11 minutes,8.3,"Nachdem Han Solo aus dem Palast von Jabba dem Hutten gerettet wurde, versuchen die Rebellen, den zweiten Todesstern zu zerstören, während Luke darum kämpft, dass Vader von der dunklen Seite der Macht zurückkehrt.",https://m.media-amazon.com/images/M/MV5BNTczMmNlMWYtNzc5MC00NTRhLTgzNjEtOTVjOWE5ZDc2YjhiXkEyXkFqcGc@._V1_.jpg,Richard Marquand,"Action, Abenteuer, Fantasy"
Eternal Sunshine of the Spotless Mind,1 hours 48 minutes,8.3,"Als ihre Beziehung langsam in die Brüche geht, findet ein Paar einen Weg, wie es sich gegenseitig aus der Erinnerung des anderen Partners löschen kann. Doch erst mit fortschreitendem Verlust finden sie heraus, was sie anfangs anei...",https://m.media-amazon.com/images/M/MV5BYTAyZTE4OWItMWI2ZS00MGJmLTkyNmMtYjQxNmZmNjdlOTBkXkEyXkFqcGc@._V1_.jpg,Michel Gondry,"Drama, Liebesfilm, Science-Fiction"
Jagten,1 hours 55 minutes,8.3,"Ein Lehrer führt ein einsames Leben, während er die ganze Zeit um das Sorgerecht für seinen Sohn kämpft. Sein Leben verbessert sich langsam, als er sich verliebt und auch noch gute Nachrichten von seinem Sohn erhält. Doch das neue...",https://m.media-amazon.com/images/M/MV5BYWFhMjBmN2QtOTVjYy00YzQzLWEwYTctYmJiODhiYmVhMmE5XkEyXkFqcGc@._V1_.jpg,Thomas Vinterberg,Drama
2001: A Space Odyssey,2 hours 29 minutes,8.3,Die Menschheit findet ein mysteriöses unbekanntes Objekt unter der Mondoberfläche und begibt mithilfe des intelligenten Computers H.A.L. 9000 auf eine Reise.,https://m.media-amazon.com/images/M/MV5BOTE4MTUzNzMtOTBlZC00YTQ2LWFiNTEtY2Q0MTNlNzdhMzgzXkEyXkFqcGc@._V1_.jpg,Stanley Kubrick,"Abenteuer, Science-Fiction"
Ikiru,2 hours 23 minutes,8.3,"Ein Bürokrat versucht in seinem Leben einen Sinn zu finden, nachdem er erfahren hat, Krebs im Endstadium zu haben.",https://m.media-amazon.com/images/M/MV5BMmVhYWQwNDUtOWFkNS00YWMzLWI4MGItYmNkZjJkMmMxYjcyXkEyXkFqcGc@._V1_.jpg,Akira Kurosawa,Drama
Reservoir Dogs,1 hours 39 minutes,8.3,"Nachdem ein einfacher Juwelendiebstahl gründlich schiefgelaufen ist, hegen die überlebenden Verbrecher den Verdacht, dass einer unter ihren ein Polizeispitzel ist.",https://m.media-amazon.com/images/M/MV5BNjBjMDc5M2QtOGNiNC00YTU3LWJmZjktZDIwMzlhYjFhMWI0XkEyXkFqcGc@._V1_.jpg,Quentin Tarantino,"Krimi, Thriller"
Lawrence of Arabia,3 hours 38 minutes,8.3,"Die Geschichte von T. E. Lawrence, dem englischen Offizier, der erfolgreich die verschiedenen, oftmals verfeindeten arabischen Stämme im Ersten Weltkrieg vereinte, um sie in den Kampf gegen die Türken zu führen.",https://m.media-amazon.com/images/M/MV5BYzkyYTM0NzAtYWIxOS00ZGQ5LWIyNTEtYzEzNWM3Yzk1YWNmXkEyXkFqcGc@._V1_.jpg,David Lean,"Abenteuer, Biografie, Drama"
The Apartment,2 hours 5 minutes,8.3,"Ein Mann versucht, die Karriereleiter emporzusteigen, indem er seinen Vorgesetzten sein Apartment als Liebesnest zur Verfügung stellt, doch als er selbst eine Liebesaffäre hat, beginnt die Situation kompliziert zu werden.",https://m.media-amazon.com/images/M/MV5BYTc5ZGMzYWQtZWNmZS00NWEwLWExZDktNDFmOGY4NTM2MDRhXkEyXkFqcGc@._V1_.jpg,Billy Wilder,"Komödie, Drama, Liebesfilm"
Incendies,2 hours 11 minutes,8.3,"Zwei Zwillinge reisen in den Mittleren Osten, um mehr über ihre Familiengeschichte zu erfahren und den letzten Willen ihrer Mutter zu erfüllen.",https://m.media-amazon.com/images/M/MV5BYzhkM2I0MzMtNmMwNy00MjkzLTgzMDktOGQzYWZjYmJjMjFlXkEyXkFqcGc@._V1_.jpg,Denis Villeneuve,"Drama, Mystery, Kriegsfilm"
North by Northwest,2 hours 16 minutes,8.3,"Ein New Yorker Werbefachmann ist auf der Flucht, nachdem er von einer Gruppe ausländischer Spione für einen Regierungsagenten gehalten wurde, und verliebt sich in eine Frau, an deren Loyalität er zu zweifeln beginnt.",https://m.media-amazon.com/images/M/MV5BYWVhYWRlMDQtYzE0ZC00MTFhLWI5OTYtYzgzY2VlNGUzZTRlXkEyXkFqcGc@._V1_.jpg,Alfred Hitchcock,"Action, Abenteuer, Mystery"
Scarface,2 hours 50 minutes,8.3,1980 in Miami. Ein zielstrebiger kubanischer Einwanderer übernimmt ein Drogenkartell und verfällt der Habsucht.,https://m.media-amazon.com/images/M/MV5BM2NjZTVjYTEtODg2OC00MDY4LWExNTAtOTQyM2Y3ZDE3OTVmXkEyXkFqcGc@._V1_.jpg,Brian De Palma,"Krimi, Drama"
Oppenheimer,3 hours,8.3,‎Die Geschichte des amerikanischen Wissenschaftlers J. Robert Oppenheimer und seine Rolle bei der Entwicklung der Atombombe.‎,https://m.media-amazon.com/images/M/MV5BMzhlY2IyYTAtMTllMC00NzM3LWFhY2ItNjdhM2NhZmJiYWQ1XkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Biografie, Drama, Geschichte"
Double Indemnity,1 hours 47 minutes,8.3,"Ein Versicherungsvertreter lässt sich zur Planung eines Mordes und Versicherungsbetrugs überreden, der schließlich den Verdacht eines Versicherungsdetektivs erregt.",https://m.media-amazon.com/images/M/MV5BMDEwNDM5MjQtMWI0ZC00ZjdkLWEwOGQtNzJkNjIyMTM4YmQyXkEyXkFqcGc@._V1_.jpg,Billy Wilder,"Krimi, Drama, Film Noir"
Citizen Kane,1 hours 59 minutes,8.3,"Nach dem Tod eines Zeitungs- und Verlagsmagnaten reißen sich Reporter darum, die Bedeutung der letzten Worte des Verstorbenen zu entschlüsseln.",https://m.media-amazon.com/images/M/MV5BYjlhNmFlMGMtNmVjMC00MDg4LTg3ZTMtODc5ODg5Yzk1Y2UxXkEyXkFqcGc@._V1_.jpg,Orson Welles,"Drama, Mystery"
M - Eine Stadt sucht einen Mörder,1 hours 57 minutes,8.3,"Als die Polizei in einer deutschen Stadt nicht in der Lage ist, einen Kindermörder zu fangen, beteiligen sich andere Verbrecher an der Menschenjagd.",https://m.media-amazon.com/images/M/MV5BMTU1ODE2ODg3Ml5BMl5BanBnXkFtZTgwNjk1MTA5MTE@._V1_.jpg,Fritz Lang,"Krimi, Mystery, Thriller"
Vertigo,2 hours 8 minutes,8.3,"Ein Kriminalinspektor in San Francisco, der an Höhenangst leidet, untersucht die seltsamen Aktivitäten der Frau eines alten Freundes und wird immer besessener von ihr.",https://m.media-amazon.com/images/M/MV5BZTBmOWRiNjYtOTM3MC00MWYyLTk5YmMtNDY0YmZjZTU2MDlhXkEyXkFqcGc@._V1_.jpg,Alfred Hitchcock,"Mystery, Liebesfilm, Thriller"
Full Metal Jacket,1 hours 56 minutes,8.2,"Ein pragmatischer US-Marine beobachtet, welche entmenschlichenden Auswirkungen der Vietnamkrieg auf seine Gefährten im Ausbildungslager hat, vom brutalen Training dort bis hin zu den blutigen Straßenkämpfen in Hue.",https://m.media-amazon.com/images/M/MV5BOTI1OGFmZTAtNWQ2NS00NGIxLWE3MTktODRmZTFkODgzZDBhXkEyXkFqcGc@._V1_.jpg,Stanley Kubrick,"Drama, Kriegsfilm"
Heat,2 hours 50 minutes,8.3,"Eine Gruppe professioneller Bankräuber hat die Polizei an den Fersen, als sie bei ihrem letzten Raubzug versehentlich eine heiße Spur hinterlassen.",https://m.media-amazon.com/images/M/MV5BNDMwZTZlY2QtM2I0MS00Y2MwLTk1ZGYtYzY1ZmE3ZmY2YWYwXkEyXkFqcGc@._V1_.jpg,Michael Mann,"Action, Krimi, Drama"
Le fabuleux destin d'Amélie Poulain,2 hours 2 minutes,8.3,"Amélie ist eine naive Träumerin in Paris mit einem ganz eigenen Gerechtigkeitssinn. Sie entscheidet, anderen Leuten zu helfen, und entdeckt dabei die Liebe.",https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_.jpg,Jean-Pierre Jeunet,"Komödie, Liebesfilm"
Up,1 hours 36 minutes,8.3,"Der siebenundachtzig Jahre alte Carl Fredricksen reist mit seinem an Luftballons hängenden Haus zu den Paradiesfällen, in Begleitung eines von ihm unbemerkten, jungen blinden Passagiers.",https://m.media-amazon.com/images/M/MV5BYTg3NjgyMGEtNDRkMS00YjA3LThiYzktNjhlOGE1ZjRiNjhjXkEyXkFqcGc@._V1_.jpg,"Pete Docter, Bob Peterson","Animation, Abenteuer, Komödie"
A Clockwork Orange,2 hours 16 minutes,8.2,"Im Großbritannien der Zukunft sitzt der charismatische Delinquent Alex DeLarge im Gefängnis. Er meldet sich freiwillig für eine experimentelle Aversionstherapie, die von der Regierung zur Lösung des Kriminalitätsproblems entwickel...",https://m.media-amazon.com/images/M/MV5BMTc2ODczMzkzM15BMl5BanBnXkFtZTgwNTQ2NzAxMDE@._V1_.jpg,Stanley Kubrick,"Krimi, Science-Fiction"
To Kill a Mockingbird,2 hours 9 minutes,8.3,"Atticus Finch, ein Rechtsanwalt in den von der Depression gebeutelten Südstaaten der USA, verteidigt einen Schwarzen gegen eine nicht berechtigte Anklage wegen Vergewaltigung und versucht, seine (eigenen) Kinder vor Vorurteilen zu...",https://m.media-amazon.com/images/M/MV5BNWU1YTI2NGEtMGY3Mi00NjlhLTgwNWMtNWQzNWU1ZjQyZTRiXkEyXkFqcGc@._V1_.jpg,Robert Mulligan,"Krimi, Drama"
Jodaeiye Nader az Simin,2 hours 3 minutes,8.3,"Ein verheiratetes Paar hat eine schwere Entscheidung zu treffen: Entweder das Leben ihres Kindes zu verbessern und dafür in ein anderes Land zu ziehen oder im Iran zu bleiben und für einen hilfsbedürftigen Elternteil sorgen, der a...",https://m.media-amazon.com/images/M/MV5BMjYyZTdkOGYtZmEzMi00NjU2LWFiZDctYmYxMDU4MjQ0ZjFlXkEyXkFqcGc@._V1_.jpg,Asghar Farhadi,Drama
The Sting,2 hours 9 minutes,8.3,"In Chicago möchte ein junger Hochstapler sich im September 1936 für den Mord an seinem Partner rächen und tut sich mit dem größten aller Trickbetrüger zusammen, um einem kriminellen Banker ein Vermögen abzuluchsen.",https://m.media-amazon.com/images/M/MV5BZTBlMGU0NjQtYmQwYi00ODI4LWEzNjQtMzRjZTlmYzM1Yjc0XkEyXkFqcGc@._V1_.jpg,George Roy Hill,"Komödie, Krimi, Drama"
Die Hard,2 hours 12 minutes,8.2,"John McClane, Polizeibeamter bei der New Yorker Polizei, versucht das Leben seiner Frau Holly Gennaro und einiger weiterer Personen zu retten, die während einer Weihnachtsfeier im Nakatomi Plaza-Gebäude in Los Angeles vom deutsche...",https://m.media-amazon.com/images/M/MV5BZjFiZTYzNTQtNDBlZS00ZDhjLTk4OGMtNDk4OTkzNTU5M2Y2XkEyXkFqcGc@._V1_.jpg,John McTiernan,"Action, Thriller"
Indiana Jones and the Last Crusade,2 hours 7 minutes,8.2,"Als Dr. Henry Jones Senior bei der Suche nach dem Heiligen Gral plötzlich von der Bildfläche verschwindet, muss der angesehene Archäologe Indiana Jones in die Fußstapfen seines Vaters treten und die Nazis stoppen.",https://m.media-amazon.com/images/M/MV5BY2Q0ODg4ZmItNDZiYi00ZWY5LTg2NzctNmYwZjA5OThmNzE1XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_.jpg,Steven Spielberg,"Action, Abenteuer"
Taare Zameen Par,2 hours 42 minutes,8.3,"Ein achtjähriger Junge gilt als fauler Ärgermacher, bis der neue Kunstlehrer die Geduld und das Mitgefühl hat, das eigentliche Problem hinter seinen Schulkämpfen zu entdecken.",https://m.media-amazon.com/images/M/MV5BNjVmMTlkNGYtYTM2OC00Yjc2LWIyYmQtMDY4ZmU1MWRlMjA3XkEyXkFqcGc@._V1_.jpg,"Aamir Khan, Amole Gupte","Drama, Familienfilm"
Metropolis,2 hours 33 minutes,8.3,"In einer futuristischen Großstadt, in der die Arbeiterklasse streng von der Oberschicht getrennt ist, verliebt sich der Sohn des Herrschers der Stadt in eine Prophetin der Unterschicht, die das Kommen eines Retters vorhersagt, der...",https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_.jpg,Fritz Lang,"Drama, Science-Fiction"
Snatch,1 hours 44 minutes,8.2,"Skrupellose Boxkampfveranstalter, gewalttätige Buchmacher, ein russischer Gangster, unfähige Amateurdiebe und angeblich jüdische Juwelenhändler bekämpfen sich gegenseitig, um einen unbezahlbaren gestohlenen Diamanten aufzuspüren.",https://m.media-amazon.com/images/M/MV5BMTNiMzgzNjItNmZhYy00ZTI0LThjZDEtMWU5ZWY5OTIxMzk0XkEyXkFqcGc@._V1_.jpg,Guy Ritchie,"Komödie, Krimi"
1917,1 hours 59 minutes,8.2,Der Film wird in 1917 während des Ersten Weltkriegs gedreht.,https://m.media-amazon.com/images/M/MV5BMTEzYjdkMGYtMDNjOS00YTBlLWE5NGUtMTM5OTlkNTI1NDJlXkEyXkFqcGc@._V1_.jpg,Sam Mendes,"Action, Drama, Geschichte"
L.A. Confidential,2 hours 18 minutes,8.2,"Während die Korruption im Los Angeles der Fünfziger Jahre ihre Blüten treibt, untersuchen drei Polizisten - ein Sittenwächter, ein Brutalo und ein Intrigant - eine Reihe von Mordfällen, wobei sie ihre eigene Art von Rechtsauffassu...",https://m.media-amazon.com/images/M/MV5BOWU0NmVmYWQtNjIxYi00ZDAxLTk4OTEtM2E2MjgwMjUwOTQ0XkEyXkFqcGc@._V1_.jpg,Curtis Hanson,"Krimi, Drama, Mystery"
Ladri di biciclette,1 hours 29 minutes,8.3,"Im Italien der Nachkriegszeit wird einem Tagelöhner sein Fahrrad gestohlen. Zusammen mit seinem Sohn zieht er los, um es wiederzufinden.",https://m.media-amazon.com/images/M/MV5BZTQzYTIxYzItYmQ5YS00MmFhLWEyMjItNTBhMTRmM2Y5MDJhXkEyXkFqcGc@._V1_.jpg,Vittorio De Sica,Drama
